"site","variable","species","trt","mean_control","mean_trt","sd_control","sd_trt","se_control","se_trt","n_control","n_trt"
"secondary","asat","gironniera_subaequalis","n",2.604,2.528,0.249,0.208,0.083,0.069,9,9
"secondary","asat","gironniera_subaequalis","p",2.604,3.574,0.249,1.047,0.083,0.349,9,9
"secondary","asat","gironniera_subaequalis","np",2.604,7.39,0.249,1.791,0.083,0.597,9,9
"secondary","asat","calamus_tetradactyloides","n",1.368,0.656,0.32,0.205,0.107,0.068,9,9
"secondary","asat","calamus_tetradactyloides","p",1.368,1.573,0.32,0.051,0.107,0.017,9,9
"secondary","asat","calamus_tetradactyloides","np",1.368,1.481,0.32,0.177,0.107,0.059,9,9
"secondary","asat","cryptocarya_chinensis","n",1.655,2.979,0.294,0.46,0.098,0.153,9,9
"secondary","asat","cryptocarya_chinensis","p",1.655,1.539,0.294,0.54,0.098,0.18,9,9
"secondary","asat","cryptocarya_chinensis","np",1.655,5.457,0.294,1.486,0.098,0.495,9,9
"secondary","asat","psychotria_asiatica","n",2.128,3.5,0.099,0.211,0.033,0.07,9,9
"secondary","asat","psychotria_asiatica","p",2.128,3.335,0.099,0.467,0.033,0.156,9,9
"secondary","asat","psychotria_asiatica","np",2.128,8.846,0.099,1.208,0.033,0.403,9,9
"secondary","asat","nephelium_lappaceum","n",1.85,4.315,1.065,0.734,0.355,0.245,9,9
"secondary","asat","nephelium_lappaceum","p",1.85,2.692,1.065,0.2,0.355,0.067,9,9
"secondary","asat","nephelium_lappaceum","np",1.85,7.52,1.065,0.827,0.355,0.276,9,9
"secondary","asat","ampelocalamus_actinotrichus","n",0.469,1.919,0.077,0.746,0.026,0.249,9,9
"secondary","asat","ampelocalamus_actinotrichus","p",0.469,1.353,0.077,0.21,0.026,0.07,9,9
"secondary","asat","ampelocalamus_actinotrichus","np",0.469,1.823,0.077,0.472,0.026,0.157,9,9
"secondary","asat","rhapis_excelsa","n",1.002,1.304,0.083,0.25,0.028,0.083,9,9
"secondary","asat","rhapis_excelsa","p",1.002,0.8,0.083,0.149,0.028,0.05,9,9
"secondary","asat","rhapis_excelsa","np",1.002,3.125,0.083,0.494,0.028,0.165,9,9
"secondary","wue","blastus_cochinchinensis","n",75.533,55.334,21.008,6.849,7.003,2.283,9,9
"secondary","wue","blastus_cochinchinensis","p",75.533,65.497,21.008,2.369,7.003,0.79,9,9
"secondary","wue","blastus_cochinchinensis","np",75.533,110.881,21.008,29.831,7.003,9.944,9,9
"secondary","wue","gironniera_subaequalis","n",70.604,54.502,17.075,10.317,5.692,3.439,9,9
"secondary","wue","gironniera_subaequalis","p",70.604,56.991,17.075,15.176,5.692,5.059,9,9
"secondary","wue","gironniera_subaequalis","np",70.604,64.704,17.075,6.538,5.692,2.179,9,9
"secondary","wue","calamus_tetradactyloides","n",52.521,347.689,0,288.681,0,96.227,9,9
"secondary","wue","calamus_tetradactyloides","p",52.521,115.546,0,40.329,0,13.443,9,9
"secondary","wue","calamus_tetradactyloides","np",52.521,81.933,0,19.462,0,6.487,9,9
"secondary","wue","cryptocarya_chinensis","n",115.284,51.303,54.404,4.964,18.135,1.655,9,9
"secondary","wue","cryptocarya_chinensis","p",115.284,144.076,54.404,48.294,18.135,16.098,9,9
"secondary","wue","cryptocarya_chinensis","np",115.284,85.427,54.404,23.354,18.135,7.785,9,9
"secondary","wue","psychotria_asiatica","n",120.043,55.388,11.125,7.32,3.708,2.44,9,9
"secondary","wue","psychotria_asiatica","p",120.043,76.185,11.125,29.282,3.708,9.761,9,9
"secondary","wue","psychotria_asiatica","np",120.043,86.692,11.125,10.909,3.708,3.636,9,9
"secondary","wue","nephelium_lappaceum","n",84.329,53.598,14.981,3.471,4.994,1.157,9,9
"secondary","wue","nephelium_lappaceum","p",84.329,59.329,14.981,33.86,4.994,11.287,9,9
"secondary","wue","nephelium_lappaceum","np",84.329,59.878,14.981,15.44,4.994,5.147,9,9
"secondary","wue","ampelocalamus_actinotrichus","n",20.803,88.23,11.833,27.489,3.944,9.163,9,9
"secondary","wue","ampelocalamus_actinotrichus","p",20.803,75.365,11.833,23.422,3.944,7.807,9,9
"secondary","wue","ampelocalamus_actinotrichus","np",20.803,53.65,11.833,14.087,3.944,4.696,9,9
"secondary","wue","rhapis_excelsa","n",133.245,67.287,15.604,10.676,5.201,3.559,9,9
"secondary","wue","rhapis_excelsa","p",133.245,133.777,15.604,64.523,5.201,21.508,9,9
"secondary","wue","rhapis_excelsa","np",133.245,45.08,15.604,19.997,5.201,6.666,9,9
"secondary","pnue","blastus_cochinchinensis","n",0.576,0.797,0.047,0.16,0.016,0.053,9,9
"secondary","pnue","blastus_cochinchinensis","p",0.576,0.88,0.047,0.087,0.016,0.029,9,9
"secondary","pnue","blastus_cochinchinensis","np",0.576,1.348,0.047,0.212,0.016,0.071,9,9
"secondary","pnue","gironniera_subaequalis","n",0.624,0.546,0.056,0,0.019,0,9,9
"secondary","pnue","gironniera_subaequalis","p",0.624,0.856,0.056,0.287,0.019,0.096,9,9
"secondary","pnue","gironniera_subaequalis","np",0.624,1.843,0.056,0.53,0.019,0.177,9,9
"secondary","pnue","calamus_tetradactyloides","n",0.421,0.164,0.119,0.048,0.04,0.016,9,9
"secondary","pnue","calamus_tetradactyloides","p",0.421,0.518,0.119,0.051,0.04,0.017,9,9
"secondary","pnue","calamus_tetradactyloides","np",0.421,0.468,0.119,0.106,0.04,0.035,9,9
"secondary","pnue","cryptocarya_chinensis","n",0.552,0.944,0.064,0.181,0.021,0.06,9,9
"secondary","pnue","cryptocarya_chinensis","p",0.552,0.574,0.064,0.182,0.021,0.061,9,9
