"exp","Species","Treatm","trait","mean_control","mean_trt","sd_control","sd_trt","se_control","se_trt","n_control","n_trt"
"crous2017","casuarina_cunninghammiana","LNHP","Asat",14.8183333333333,13.74,5.68499574904561,4.1942961268847,2.3208897958422,1.71231422349988,6,6
"crous2017","casuarina_cunninghammiana","HNHP","Asat",14.8183333333333,25.175,5.68499574904561,4.17412865158706,2.3208897958422,1.70408088618665,6,6
"crous2017","eucalyptus_camadulensis","HNLP","Asat",15.3933333333333,10.0033333333333,3.27439561853278,3.25724832744859,1.33676641356837,1.32976606129717,6,6
"crous2017","eucalyptus_camadulensis","LNHP","Asat",15.3933333333333,13.4733333333333,3.27439561853278,5.62281305635059,1.33676641356837,2.29550381785302,6,6
"crous2017","eucalyptus_camadulensis","HNHP","Asat",15.3933333333333,17.36,3.27439561853278,5.67662223509721,1.33676641356837,2.31747132308759,6,6
"crous2017","eucalyptus_platypus","HNLP","Asat",19.836,19.638,4.53654383865074,3.95576414868227,2.02880408122618,1.76907150788203,5,5
"crous2017","eucalyptus_platypus","LNHP","Asat",19.836,15.758,4.53654383865074,5.08106976925135,2.02880408122618,2.27232348049304,5,5
"crous2017","eucalyptus_platypus","HNHP","Asat",19.836,25.4183333333333,4.53654383865074,5.6929620292662,2.02880408122618,2.32414201612361,5,6
"crous2017","festuca_arundinacea","HNLP","Asat",9.81166666666667,11.925,2.37962532064749,5.8117871605901,0.97147796909886,2.37265217285074,6,6
"crous2017","festuca_arundinacea","LNHP","Asat",9.81166666666667,8.37833333333333,2.37962532064749,1.0112451071163,0.97147796909886,0.412839086220177,6,6
"crous2017","festuca_arundinacea","HNHP","Asat",9.81166666666667,7.65666666666667,2.37962532064749,5.04539261769257,0.97147796909886,2.05977291089199,6,6
"crous2017","festuca_rubra","HNLP","Asat",9.33833333333333,12.2616666666667,2.58869400792497,6.721072583053,1.05682990326942,2.74386639211493,6,6
"crous2017","festuca_rubra","LNHP","Asat",9.33833333333333,9.17,2.58869400792497,1.36913111132572,1.05682990326942,0.558945435619614,6,6
"crous2017","festuca_rubra","HNHP","Asat",9.33833333333333,13.7966666666667,2.58869400792497,2.64374481874985,1.05682990326942,1.07930430267732,6,6
"crous2017","geranium_potentilloides","HNLP","Asat",14.6883333333333,20.678,4.97452074743554,7.33908168642372,2.03083959101758,3.28213710865345,6,5
"crous2017","geranium_potentilloides","LNHP","Asat",14.6883333333333,12.685,4.97452074743554,4.4767432358803,2.03083959101758,1.82762277289379,6,6
"crous2017","geranium_potentilloides","HNHP","Asat",14.6883333333333,17.1216666666667,4.97452074743554,9.26219286490336,2.03083959101758,3.78127440304339,6,6
"crous2017","geranium_pratense","HNLP","Asat",13.3633333333333,20.695,5.72802467406231,3.49466307388853,2.33845628092077,1.42669022566218,6,6
