Site,Taxa,Photosynthesis-Pathway,Lifeform,Block,Plot,MAT_v2,MAP_v2,Stand_MAT,Stand_MAP,Treatment,GS-pg,Log_GS+1,Avg_StomataSize-um2,Stomata_Density,SQRT_StomataDensity,Cmg/mgleaftissue,Nmg/mgleaftissue,Pmg/mgleaftissue,CellDensity2_mgDRY,C_PerCell_mg,N_PerCell_mg,P_PerCell_mg,C_PerCell_ng,N_PerCell_ng,P_PerCell_ng,SQRT_C_PerCell_ng,SQRT_N_PerCell_ng,SQRT_ P_PerCell_ng,Amax_(µmolCO2m⁻²s⁻¹),E_(mmolH2Om⁻²s⁻¹),SQRT_Amax,SQRT_E,Instant_WUE(µmolCO2mmolH2O⁻¹),DryMass2_mg,NumCellsIn500ulSoln
cbgb.us,Asclepias_syriaca,C3,allforb,3,29,9.258333459,871,-0.247746222,-0.161896717,N,0.855,0.617884696,23.75,1375,37.08099244,0.42134,0.0163,,4560,9.24E-05,3.57E-06,,92.39912281,3.574561404,,9.612446245,1.890651053,,7.326701823,3.110779,2.706788101,1.76374006,2.355262725,2.5,11400
cbgb.us,Asclepias_syriaca,C3,allforb,2,16,9.258333459,871,-0.247746222,-0.161896717,N,0.855,0.617884696,23.75,1375,37.08099244,0.42134,0.0163,,4560,9.24E-05,3.57E-06,,92.39912281,3.574561404,,9.612446245,1.890651053,,8.248031824,1.184011,2.871938687,1.088122695,6.966178375,2.5,11400
cbgb.us,Asclepias_syriaca,C3,allforb,1,11,9.258333459,871,-0.247746222,-0.161896717,N,0.855,0.617884696,23.75,1375,37.08099244,0.42134,0.0163,,4560,9.24E-05,3.57E-06,,92.39912281,3.574561404,,9.612446245,1.890651053,,26.83491709,10.301244,5.180242957,3.209555109,2.605017131,2.5,11400
cdcr.us,Asclepias_syriaca,C3,allforb,1,8,6.337500023,740,-0.853471586,-1.185753888,P,0.822,0.599934799,22,450,21.21320344,0.41774,0.01424,,5592.105263,7.47E-05,2.55E-06,,74.70174118,2.546447059,,8.643016902,1.595759085,,6.596722895,4.230699,2.568408631,2.056866306,1.559251295,1.9,10625
cdcr.us,Asclepias_syriaca,C3,allforb,1,2,6.337500023,740,-0.853471586,-1.185753888,NP,0.822,0.599934799,22,450,21.21320344,0.43267,0.01656,,5592.105263,7.74E-05,2.96E-06,,77.37157647,2.961317647,,8.79611144,1.720847944,,6.770763771,4.288934,2.602069133,2.070974167,1.578658886,1.9,10625
cdcr.us,Asclepias_syriaca,C3,allforb,2,24,6.337500023,740,-0.853471586,-1.185753888,N,0.822,0.599934799,22,450,21.21320344,0.44237,0.02008,,5592.105263,7.91E-05,3.59E-06,,79.10616471,3.590776471,,8.894164644,1.894934424,,18.13788352,6.359862,4.258859415,2.521876682,2.851930359,1.9,10625
churn.us,Asclepias_syriaca,C3,allforb,2,11,4.825000058,810,-1.167135345,-0.638654636,P,0.86,0.620576488,,,,0.43386,0.02457,0.00191,10906.25,3.98E-05,2.25E-06,1.75E-07,39.7808596,2.252836676,0.17512894,6.307206957,1.500945261,0.418484097,10.63486686,1.992309,3.261114359,1.411491764,5.337960557,1.2,13087.5
churn.us,Asclepias_syriaca,C3,allforb,1,4,4.825000058,810,-1.167135345,-0.638654636,NP,0.86,0.620576488,,,,0.45957,0.03359,0.00279,10906.25,4.21E-05,3.08E-06,2.56E-07,42.1382235,3.079885387,0.255816619,6.491396113,1.754960224,0.505783174,12.48535059,3.9295,3.533461559,1.982296648,3.177338234,1.2,13087.5
churn.us,Asclepias_syriaca,C3,allforb,2,12,4.825000058,810,-1.167135345,-0.638654636,N,0.86,0.620576488,,,,0.43627,0.04162,0.00141,10906.25,4.00E-05,3.82E-06,1.29E-07,40.00183381,3.816160458,0.129283668,6.324700294,1.953499541,0.359560381,15.69984554,3.414757,3.96230306,1.847906112,4.597646491,1.2,13087.5
churn.us,Asclepias_syriaca,C3,allforb,2,10,4.825000058,810,-1.167135345,-0.638654636,NP,0.86,0.620576488,,,,0.45957,0.03359,0.00279,10906.25,4.21E-05,3.08E-06,2.56E-07,42.1382235,3.079885387,0.255816619,6.491396113,1.754960224,0.505783174,16.0313522,3.701717,4.003917107,1.923984667,4.330788172,1.2,13087.5
churn.us,Asclepias_syriaca,C3,allforb,2,14,4.825000058,810,-1.167135345,-0.638654636,C,0.86,0.620576488,,,,0.42334,0.0272,0.00196,10906.25,3.88E-05,2.49E-06,1.80E-07,38.81627507,2.493982808,0.179713467,6.230270867,1.579234881,0.423926252,16.98781872,3.243485,4.121628164,1.800967795,5.237520359,1.2,13087.5
churn.us,Asclepias_syriaca,C3,allforb,3,24,4.825000058,810,-1.167135345,-0.638654636,NP,0.86,0.620576488,,,,0.45957,0.03359,0.00279,10906.25,4.21E-05,3.08E-06,2.56E-07,42.1382235,3.079885387,0.255816619,6.491396113,1.754960224,0.505783174,22.4778473,5.7442,4.741080816,2.396706073,3.913138,1.2,13087.5
